"asset_id","trade_date","atm_iv_30d","realized_vol_20d","vrp","ts"
"ES","2025-08-22",0.166,0.128953,,"2026-04-01T16:17:10.959022Z"
"ES","2025-08-26",0.1479,0.129857,,"2026-04-01T16:17:10.962544Z"
"ES","2025-08-27",0.1462,0.129469,,"2026-04-01T16:17:10.963317Z"
"ES","2025-08-28",0.1485,0.125417,,"2026-04-01T16:17:10.963963Z"
"ES","2025-08-29",0.1443,0.110504,,"2026-04-01T16:17:10.964607Z"
"ES","2025-09-02",0.1612,0.093294,,"2026-04-01T16:17:10.965215Z"
"ES","2025-09-03",0.1717,0.090392,,"2026-04-01T16:17:10.965690Z"
"ES","2025-09-04",0.1635,0.094034,,"2026-04-01T16:17:10.966174Z"
"ES","2025-09-05",0.153,0.091673,,"2026-04-01T16:17:10.966681Z"
"ES","2025-09-09",0.1511,0.082177,,"2026-04-01T16:17:10.967286Z"
"ES","2025-09-10",0.1504,0.081894,,"2026-04-01T16:17:10.967838Z"
"ES","2025-09-11",0.1535,0.086658,,"2026-04-01T16:17:10.968354Z"
"ES","2025-09-12",0.1471,0.085354,,"2026-04-01T16:17:10.968996Z"
"ES","2025-09-16",0.1569,0.083313,,"2026-04-01T16:17:10.969614Z"
"ES","2025-09-17",0.1636,0.081999,,"2026-04-01T16:17:10.970158Z"
"ES","2025-09-18",0.1572,0.08045,,"2026-04-01T16:17:10.970887Z"
"ES","2025-09-19",0.157,0.065343,,"2026-04-01T16:17:10.972153Z"
"ES","2025-09-23",0.161,0.066665,,"2026-04-01T16:17:10.973504Z"
"ES","2025-09-24",0.1664,0.06813,,"2026-04-01T16:17:10.974477Z"
"ES","2025-09-25",0.1618,0.070341,,"2026-04-01T16:17:10.975175Z"
"ES","2025-09-26",0.1674,0.066809,,"2026-04-01T16:17:10.975883Z"
"ES","2025-09-30",0.1612,0.061845,,"2026-04-01T16:17:10.976701Z"
"ES","2025-10-01",0.1628,0.062897,,"2026-04-01T16:17:10.977458Z"
"ES","2025-10-02",0.1629,0.058468,,"2026-04-01T16:17:10.978098Z"
"ES","2025-10-03",0.1663,0.055721,,"2026-04-01T16:17:10.978672Z"
"ES","2025-10-07",0.1637,0.058894,,"2026-04-01T16:17:10.979186Z"
"ES","2025-10-08",0.1724,0.060822,,"2026-04-01T16:17:10.979678Z"
"ES","2025-10-09",0.163,0.057652,,"2026-04-01T16:17:10.980173Z"
"ES","2025-10-10",0.1643,0.137545,,"2026-04-01T16:17:10.981221Z"
"ES","2025-10-14",0.1903,0.156694,,"2026-04-01T16:17:10.981746Z"
"ES","2025-10-15",0.2081,0.157334,,"2026-04-01T16:17:10.982708Z"
"ES","2025-10-16",0.2064,0.159117,,"2026-04-01T16:17:10.983337Z"
"ES","2025-10-17",0.2531,0.161261,,"2026-04-01T16:17:10.984095Z"
"ES","2025-10-21",0.1823,0.163673,,"2026-04-01T16:17:10.984775Z"
"ES","2025-10-22",0.1787,0.164483,,"2026-04-01T16:17:10.985415Z"
"ES","2025-10-23",0.186,0.164281,,"2026-04-01T16:17:10.985974Z"
"ES","2025-10-24",0.173,0.164973,,"2026-04-01T16:17:10.986925Z"
"ES","2025-10-28",0.1579,0.170358,,"2026-04-01T16:17:10.987528Z"
"ES","2025-10-29",0.1642,0.17015,,"2026-04-01T16:17:10.988158Z"
"ES","2025-10-30",0.1692,0.170949,,"2026-04-01T16:17:10.988783Z"
"ES","2025-10-31",0.1691,0.171526,,"2026-04-01T16:17:10.989403Z"
"ES","2025-11-04",0.1717,0.175836,,"2026-04-01T16:17:10.991276Z"
"ES","2025-11-05",0.19,0.175048,,"2026-04-01T16:17:10.992070Z"
"ES","2025-11-06",0.1801,0.177817,,"2026-04-01T16:17:10.992739Z"
"ES","2025-11-07",0.195,0.124328,,"2026-04-01T16:17:10.993295Z"
"ES","2025-11-11",0.176,0.111383,,"2026-04-01T16:17:10.993902Z"
"ES","2025-11-12",0.1728,0.110973,,"2026-04-01T16:17:10.994396Z"
"ES","2025-11-13",0.1751,0.123091,,"2026-04-01T16:17:10.994882Z"
"ES","2025-11-14",0.2,0.120303,,"2026-04-01T16:17:10.995364Z"
"ES","2025-11-18",0.2238,0.124852,,"2026-04-01T16:17:10.995797Z"
"ES","2025-11-19",0.2469,0.130032,,"2026-04-01T16:17:10.996489Z"
"ES","2025-11-20",0.2366,0.148225,,"2026-04-01T16:17:10.996987Z"
"ES","2025-11-21",0.2642,0.153179,,"2026-04-01T16:17:10.997495Z"
"ES","2025-11-25",0.2052,0.157954,,"2026-04-01T16:17:10.997967Z"
"ES","2025-11-26",0.1856,0.160693,,"2026-04-01T16:17:10.998408Z"
"ES","2025-11-27",0.1719,0.160344,,"2026-04-01T16:17:10.998807Z"
"ES","2025-11-28",0.1721,0.160867,,"2026-04-01T16:17:10.999229Z"
"ES","2025-12-02",0.1724,0.156361,,"2026-04-01T16:17:10.999626Z"
"ES","2025-12-03",0.1659,0.156384,,"2026-04-01T16:17:11.000082Z"
"ES","2025-12-04",0.1608,0.152314,,"2026-04-01T16:17:11.000561Z"
"ES","2025-12-05",0.1578,0.152353,,"2026-04-01T16:17:11.001249Z"
"ES","2025-12-09",0.1666,0.144952,,"2026-04-01T16:17:11.001752Z"
"ES","2025-12-10",0.1693,0.147095,,"2026-04-01T16:17:11.002306Z"
"ES","2025-12-11",0.1577,0.134346,,"2026-04-01T16:17:11.002876Z"
"ES","2025-12-12",0.1485,0.143875,,"2026-04-01T16:17:11.003300Z"
"ES","2025-12-16",0.165,0.133685,,"2026-04-01T16:17:11.003962Z"
"ES","2025-12-17",0.1648,0.133711,,"2026-04-01T16:17:11.004433Z"
"ES","2025-12-18",0.1762,0.106386,,"2026-04-01T16:17:11.004952Z"
"ES","2025-12-19",0.1687,0.10428,,"2026-04-01T16:17:11.005529Z"
"ES","2025-12-23",0.1408,0.09156,,"2026-04-01T16:17:11.006023Z"
"ES","2025-12-24",0.14,0.088892,,"2026-04-01T16:17:11.006889Z"
"ES","2025-12-25",0.1347,0.088849,,"2026-04-01T16:17:11.007462Z"
"ES","2025-12-30",0.142,0.086996,,"2026-04-01T16:17:11.007905Z"
"ES","2025-12-31",0.1433,0.09056,,"2026-04-01T16:17:11.008387Z"
"ES","2026-01-06",0.149,0.095394,,"2026-04-01T16:17:11.008953Z"
"ES","2026-01-07",0.1475,0.09559,,"2026-04-01T16:17:11.009461Z"
"ES","2026-01-08",0.1538,0.092614,,"2026-04-01T16:17:11.010142Z"
"ES","2026-01-09",0.1545,0.092673,,"2026-04-01T16:17:11.010598Z"
"ES","2026-01-13",0.1512,0.077939,,"2026-04-01T16:17:11.011092Z"
"ES","2026-01-14",0.1598,0.078981,,"2026-04-01T16:17:11.011546Z"
"ES","2026-01-15",0.1675,0.070746,,"2026-04-01T16:17:11.012011Z"
"ES","2026-01-16",0.1584,0.069469,,"2026-04-01T16:17:11.012514Z"
"ES","2026-01-20",0.1884,0.077434,,"2026-04-01T16:17:11.012970Z"
"ES","2026-01-21",0.2009,0.087214,,"2026-04-01T16:17:11.013503Z"
"ES","2026-01-22",0.169,0.087424,,"2026-04-01T16:17:11.014027Z"
"ES","2026-01-23",0.1564,0.087447,,"2026-04-01T16:17:11.014475Z"
"ES","2026-01-27",0.1615,0.091214,,"2026-04-01T16:17:11.015064Z"
"ES","2026-01-28",0.1635,0.09094,,"2026-04-01T16:17:11.015595Z"
"ES","2026-01-29",0.1635,0.087565,,"2026-04-01T16:17:11.016072Z"
"ES","2026-01-30",0.1688,0.089175,,"2026-04-01T16:17:11.016628Z"
"ES","2026-02-03",0.1634,0.092301,,"2026-04-01T16:17:11.017323Z"
"ES","2026-02-04",0.18,0.091847,,"2026-04-01T16:17:11.017914Z"
"ES","2026-02-05",0.1864,0.116153,,"2026-04-01T16:17:11.018474Z"
"ES","2026-02-06",0.2177,0.143365,,"2026-04-01T16:17:11.019039Z"
"ES","2026-02-10",0.1736,0.144854,,"2026-04-01T16:17:11.019460Z"
"ES","2026-02-11",0.1779,0.143491,,"2026-04-01T16:17:11.019942Z"
"ES","2026-02-12",0.1765,0.15192,,"2026-04-01T16:17:11.020431Z"
"ES","2026-02-13",0.2082,0.152016,,"2026-04-01T16:17:11.020924Z"
"ES","2026-02-17",0.212,0.143635,,"2026-04-01T16:17:11.021398Z"
"ES","2026-02-18",0.2029,0.13843,,"2026-04-01T16:17:11.021815Z"
"ES","2026-02-19",0.1962,0.13802,,"2026-04-01T16:17:11.022282Z"
"ES","2026-02-20",0.2023,0.140959,,"2026-04-01T16:17:11.022755Z"
"ES","2026-02-24",0.2101,0.143633,,"2026-04-01T16:17:11.023446Z"
"ES","2026-02-25",0.1955,0.149426,,"2026-04-01T16:17:11.024233Z"
"ES","2026-02-26",0.1793,0.1532,,"2026-04-01T16:17:11.024798Z"
"ES","2026-02-27",0.1863,0.153216,,"2026-04-01T16:17:11.025484Z"
"ES","2026-03-03",0.2144,0.152227,,"2026-04-01T16:17:11.026373Z"
"ES","2026-03-04",0.2357,0.156601,,"2026-04-01T16:17:11.027353Z"
"ES","2026-03-05",0.2115,0.140939,,"2026-04-01T16:17:11.027961Z"
"ES","2026-03-06",0.2375,0.120087,,"2026-04-01T16:17:11.028852Z"
"ES","2026-03-10",0.255,0.122438,,"2026-04-01T16:17:11.029357Z"
"ES","2026-03-11",0.2493,0.122835,,"2026-04-01T16:17:11.029869Z"
"ES","2026-03-12",0.2423,0.120042,,"2026-04-01T16:17:11.030422Z"
"ES","2026-03-13",0.2729,0.123101,,"2026-04-01T16:17:11.031108Z"
"ES","2026-03-17",0.2351,0.131698,,"2026-04-01T16:17:11.032017Z"
"ES","2026-03-18",0.2237,0.140846,,"2026-04-01T16:17:11.033162Z"
"ES","2026-03-19",0.2509,0.141187,,"2026-04-01T16:17:11.034238Z"
"ES","2026-03-20",0.2406,0.141192,,"2026-04-01T16:17:11.035276Z"
"ES","2026-03-24",0.2615,0.140354,,"2026-04-01T16:17:11.036111Z"
"ES","2026-03-25",0.2695,0.131706,,"2026-04-01T16:17:11.036726Z"
"ES","2026-03-26",0.2533,0.137406,,"2026-04-01T16:17:11.037385Z"
"ES","2026-03-27",0.2744,0.15177,,"2026-04-01T16:17:11.038290Z"
